,index,Trade,JPM,JPM_stock,Order,Shares,cash,equity_value,port_value,market_impact,Symbol,prev_cash
208,2008-10-28,-2000.0,35.23,-1000,SELL,2000.0,1298270.0,-35230.0,1263040.0,0.0,JPM,1227810.0
209,2008-10-29,2000.0,33.46,1000,BUY,2000.0,1231350.0,33460.0,1264810.0,0.0,JPM,1298270.0
210,2008-10-30,0.0,35.25,1000,HOLD,0.0,1231350.0,35250.0,1266600.0,0.0,JPM,1231350.0
211,2008-10-31,-2000.0,38.65,-1000,SELL,2000.0,1308650.0,-38650.0,1270000.0,0.0,JPM,1231350.0
212,2008-11-03,2000.0,38.17,1000,BUY,2000.0,1232310.0,38170.0,1270480.0,0.0,JPM,1308650.0
213,2008-11-04,-2000.0,39.52,-1000,SELL,2000.0,1311350.0,-39520.0,1271830.0,0.0,JPM,1232310.0
214,2008-11-05,0.0,36.75,-1000,HOLD,0.0,1311350.0,-36750.0,1274600.0,0.0,JPM,1311350.0
215,2008-11-06,0.0,35.85,-1000,HOLD,0.0,1311350.0,-35850.0,1275500.0,0.0,JPM,1311350.0
216,2008-11-07,0.0,35.37,-1000,HOLD,0.0,1311350.0,-35370.0,1275980.0,0.0,JPM,1311350.0
217,2008-11-10,0.0,34.12,-1000,HOLD,0.0,1311350.0,-34120.0,1277230.0,0.0,JPM,1311350.0
218,2008-11-11,0.0,34.06,-1000,HOLD,0.0,1311350.0,-34060.0,1277290.0,0.0,JPM,1311350.0
219,2008-11-12,2000.0,32.39,1000,BUY,2000.0,1246570.0,32390.0,1278960.0,0.0,JPM,1311350.0
220,2008-11-13,-2000.0,34.85,-1000,SELL,2000.0,1316270.0,-34850.0,1281420.0,0.0,JPM,1246570.0
221,2008-11-14,0.0,32.3,-1000,HOLD,0.0,1316270.0,-32299.999999999996,1283970.0,0.0,JPM,1316270.0
222,2008-11-17,0.0,30.71,-1000,HOLD,0.0,1316270.0,-30710.0,1285560.0,0.0,JPM,1316270.0
223,2008-11-18,0.0,30.12,-1000,HOLD,0.0,1316270.0,-30120.0,1286150.0,0.0,JPM,1316270.0
224,2008-11-19,0.0,26.68,-1000,HOLD,0.0,1316270.0,-26680.0,1289590.0,0.0,JPM,1316270.0
225,2008-11-20,0.0,21.91,-1000,HOLD,0.0,1316270.0,-21910.0,1294360.0,0.0,JPM,1316270.0
226,2008-11-21,2000.0,21.29,1000,BUY,2000.0,1273690.0,21290.0,1294980.0,0.0,JPM,1316270.0
227,2008-11-24,0.0,25.84,1000,HOLD,0.0,1273690.0,25840.0,1299530.0,0.0,JPM,1273690.0
228,2008-11-25,0.0,27.9,1000,HOLD,0.0,1273690.0,27900.0,1301590.0,0.0,JPM,1273690.0
229,2008-11-26,0.0,28.69,1000,HOLD,0.0,1273690.0,28690.0,1302380.0,0.0,JPM,1273690.0
230,2008-11-28,-2000.0,29.67,-1000,SELL,2000.0,1333030.0,-29670.0,1303360.0,0.0,JPM,1273690.0
231,2008-12-01,2000.0,24.48,1000,BUY,2000.0,1284070.0,24480.0,1308550.0,0.0,JPM,1333030.0
232,2008-12-02,0.0,26.73,1000,HOLD,0.0,1284070.0,26730.0,1310800.0,0.0,JPM,1284070.0
233,2008-12-03,0.0,28.35,1000,HOLD,0.0,1284070.0,28350.0,1312420.0,0.0,JPM,1284070.0
234,2008-12-04,0.0,29.12,1000,HOLD,0.0,1284070.0,29120.0,1313190.0,0.0,JPM,1284070.0
235,2008-12-05,0.0,31.25,1000,HOLD,0.0,1284070.0,31250.0,1315320.0,0.0,JPM,1284070.0
236,2008-12-08,-2000.0,34.19,-1000,SELL,2000.0,1352450.0,-34190.0,1318260.0,0.0,JPM,1284070.0
237,2008-12-09,0.0,31.82,-1000,HOLD,0.0,1352450.0,-31820.0,1320630.0,0.0,JPM,1352450.0
238,2008-12-10,0.0,31.41,-1000,HOLD,0.0,1352450.0,-31410.0,1321040.0,0.0,JPM,1352450.0
239,2008-12-11,2000.0,28.06,1000,BUY,2000.0,1296330.0,28060.0,1324390.0,0.0,JPM,1352450.0
240,2008-12-12,-2000.0,28.99,-1000,SELL,2000.0,1354310.0,-28990.0,1325320.0,0.0,JPM,1296330.0
241,2008-12-15,2000.0,26.83,1000,BUY,2000.0,1300650.0,26830.0,1327480.0,0.0,JPM,1354310.0
242,2008-12-16,-2000.0,30.31,-1000,SELL,2000.0,1361270.0,-30310.0,1330960.0,0.0,JPM,1300650.0
243,2008-12-17,0.0,29.85,-1000,HOLD,0.0,1361270.0,-29850.0,1331420.0,0.0,JPM,1361270.0
244,2008-12-18,2000.0,28.31,1000,BUY,2000.0,1304650.0,28310.0,1332960.0,0.0,JPM,1361270.0
245,2008-12-19,-2000.0,28.41,-1000,SELL,2000.0,1361470.0,-28410.0,1333060.0,0.0,JPM,1304650.0
246,2008-12-22,0.0,27.94,-1000,HOLD,0.0,1361470.0,-27940.0,1333530.0,0.0,JPM,1361470.0
247,2008-12-23,2000.0,27.28,1000,BUY,2000.0,1306910.0,27280.0,1334190.0,0.0,JPM,1361470.0
248,2008-12-24,-2000.0,27.97,-1000,SELL,2000.0,1362850.0,-27970.0,1334880.0,0.0,JPM,1306910.0
249,2008-12-26,0.0,27.92,-1000,HOLD,0.0,1362850.0,-27920.0,1334930.0,0.0,JPM,1362850.0
250,2008-12-29,2000.0,27.91,1000,BUY,2000.0,1307030.0,27910.0,1334940.0,0.0,JPM,1362850.0
251,2008-12-30,0.0,29.06,1000,HOLD,0.0,1307030.0,29060.0,1336090.0,0.0,JPM,1307030.0
252,2008-12-31,0.0,29.55,1000,HOLD,0.0,1307030.0,29550.0,1336580.0,0.0,JPM,1307030.0
253,2009-01-02,-2000.0,29.74,-1000,SELL,2000.0,1366510.0,-29740.0,1336770.0,0.0,JPM,1307030.0
254,2009-01-05,2000.0,27.74,1000,BUY,2000.0,1311030.0,27740.0,1338770.0,0.0,JPM,1366510.0
255,2009-01-06,-2000.0,28.34,-1000,SELL,2000.0,1367710.0,-28340.0,1339370.0,0.0,JPM,1311030.0
256,2009-01-07,0.0,26.64,-1000,HOLD,0.0,1367710.0,-26640.0,1341070.0,0.0,JPM,1367710.0
257,2009-01-08,0.0,25.82,-1000,HOLD,0.0,1367710.0,-25820.0,1341890.0,0.0,JPM,1367710.0
258,2009-01-09,0.0,24.63,-1000,HOLD,0.0,1367710.0,-24630.0,1343080.0,0.0,JPM,1367710.0
259,2009-01-12,2000.0,23.63,1000,BUY,2000.0,1320450.0,23630.0,1344080.0,0.0,JPM,1367710.0
260,2009-01-13,-2000.0,24.99,-1000,SELL,2000.0,1370430.0,-24990.0,1345440.0,0.0,JPM,1320450.0
261,2009-01-14,0.0,24.58,-1000,HOLD,0.0,1370430.0,-24580.0,1345850.0,0.0,JPM,1370430.0
262,2009-01-15,0.0,23.09,-1000,HOLD,0.0,1370430.0,-23090.0,1347340.0,0.0,JPM,1370430.0
263,2009-01-16,0.0,21.64,-1000,HOLD,0.0,1370430.0,-21640.0,1348790.0,0.0,JPM,1370430.0
264,2009-01-20,2000.0,17.16,1000,BUY,2000.0,1336110.0,17160.0,1353270.0,0.0,JPM,1370430.0
265,2009-01-21,0.0,21.46,1000,HOLD,0.0,1336110.0,21460.0,1357570.0,0.0,JPM,1336110.0
266,2009-01-22,0.0,21.91,1000,HOLD,0.0,1336110.0,21910.0,1358020.0,0.0,JPM,1336110.0
267,2009-01-23,0.0,23.03,1000,HOLD,0.0,1336110.0,23030.0,1359140.0,0.0,JPM,1336110.0
